202900041,"Panasonic NN-C994S Genius Prestige Convection Microwave Oven with Inverter Turbo Defrost and One-Touch Sensor Cooking, Stainless",,"Panasonic",;21047,"Sony VAIO Neoprene Notebook With AC Adapter Case - Black Finish - VGPAMC2","Sony VAIO Neoprene Notebook With AC Adapter Case - VGPAMC2/ Helps Protect Your Notebook From Scratches, Spills And Dings/ Neoprene Offers Durable, Water-Resistant Protection/ Fits 17' Widescreen Notebooks",$24.00;no
10333368,"Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327","Optical - USB, PS/2","Kensington",;32034,"Kensington Orbit Optical Trackball Mouse - 64327","Kensington Orbit Optical Trackball Mouse - 64327/ DiamondEye Optical Technology For Precise Tracking And Cursor Control/ USB And PS/2 Connectivity For Greater Compatibility/ Windows And Mac Compatible/ Metallic Silver And Black Finish",$38.00;yes
10316920,"LaCie Pocket Floppy Disk Drive - 706018","LaCie Pocket USB Floppy 1.44 MB","LACIE",;36260,"LaCie USB 2.0 Floppy Disk Drive - 706018","LaCie USB 2.0 Floppy Disk Drive - 706018/ Ultra-Thin Portable Design/ Compatible With Windows And Mac OS/ Plug And Play/ USB Powered/ 250 - 500 kbps Transfer Rate/ Silver Finish",$49.00;yes
201647442,"Kingdom Hearts II",,"SQUARE ENIX, LLC",$19.99;37496,"Nintendo DS Lite Onyx Black Portable Gaming System - NDSUSGSKB","Nintendo DS Lite Onyx Black Portable Gaming System - NDSUSGSKB/ Dual 3' TFT Color LCD Touchscreens/ Slimmer Design/ Dual Slot Compatibility (DS Lite/Game Boy Advance Game Paks)/ Twin Ultra Bright LCD Screens/ Up To 19 Hours Continuous Gameplay/ Nintendo Wi-Fi Connection/ Impressive 3D Graphics/ Dual Stereo Speakers/ Onyx Black Finish",$139.00;no
201692677,"Canon CLI-8C Ink Cartridge - 0621B002","Cyan","Canon",$13.99;20450,"Canon Color Ink Tank - CL41CL","Canon Color Ink Tank - CL41CL/ Compatible With The Pixma iP1600, MP170 Printers",$24.00;no
202916534,"Microsoft Office 2007 Home and Student - 79G-00007",,"Microsoft",$82.99;32017,"Microsoft Office Standard 2007 - 02107746","Microsoft Office Standard 2007 - 02107746/ Create Documents Faster, More Easily And More Intuitively/ Automatic Document Recovery Tool/ Document Inspector/ Online Tutorials With Step-By-Step Instructions/ Compatible With Windows Vista, Windows XP SP2 And Windows Server 2003 SP1",$399.00;no
201692679,"Canon CLI-8Y Ink Cartridge - 0623B002","Yellow","Canon",$13.99;20461,"Canon Yellow Ink Cartridge - Yellow - CLI8Y","Canon Yellow Ink Cartridge - CLI8Y/ Compatible With The Pixma iP4200, iP5200,  iP5200R, iP6600D, MP500, MP800 Printers",$16.00;yes
10333848,"Linksys EtherFast EF4124 Ethernet Switch","24 x 10/100Base-TX LAN","LINKSYS",$64.99;23686,"Linksys EtherFast 4124 24-Port Ethernet Switch - EF4124","Linksys EtherFast 4124 24-Port Ethernet Switch - EF4124/ 24 Autosensing 10/100 Full Duplex, Auto MDI/MDI-X Ports/ Up To 200Mbps/ Address Learning, Aging And Data Flow Control/ Compact Size",$119.00;yes
10363070,"Logitech Driving Force Pro for PlayStation 2 - 963293-0403",,"Logitech",;36207,"Logitech Driving Force Pro Steering Wheel With Pedals Set For Sony Playstation 2 - 9632930403","Logitech Driving Force Pro Steering Wheel With Pedals Set For Sony Playstation 2 - 9632930403/ Comfortable Soft Full Rubber Wheel/ Realistically Turn Through 2.5 Times Wheel Rotation/ 900 Degrees Of wheel Steering/ State-Of-The-Art Force Feedback Technology/ Stick Shifter/ Responsive Gas And Brake Pedals/ Black Finish",$129.00;yes
10373002,"Sony VAIO Notebook and AC Adapter Case - VGPAMC2","VAIO NEOPRENE NOTEBOOK & AC ADAPTER CASE UP TO 17 IN LCD","Sony",;21047,"Sony VAIO Neoprene Notebook With AC Adapter Case - Black Finish - VGPAMC2","Sony VAIO Neoprene Notebook With AC Adapter Case - VGPAMC2/ Helps Protect Your Notebook From Scratches, Spills And Dings/ Neoprene Offers Durable, Water-Resistant Protection/ Fits 17' Widescreen Notebooks",$24.00;yes
10376165,"D-Link Express EtherNetwork High-Speed DOCSIS 2.0 Cable Modem - DCM-202","D-Link Broadband Cable Modem","D-Link",;36258,"D-Link Broadband Cable Modem - DCM202","D-Link Broadband Cable Modem - DCM202/ DOCSIS 2.0 CableLabs Certified/ High-Speed Internet Connectivity/ Always On And Always Connected/ Ethernet Or USB Connectivity/ Front Panel LED Indicator Lights/ Grey Finish",$79.00;yes
